,home,away,home_score,away_score,postseason,date,home_won,home_elo,away_elo,elo_win_prob
0,Berry,Oglethorpe,3,0,False,2012-09-12,True,1500.0,1500.0,0.5
1,Hendrix,Rhodes,3,1,False,2012-09-12,True,1500.0,1500.0,0.5
2,Berry,Sewanee,3,0,False,2012-09-14,True,1524.0,1500.0,0.5344839447268315
3,Millsaps,Hendrix,3,0,False,2012-09-14,True,1500.0,1520.0,0.4712494361077314
4,Millsaps,Rhodes,3,1,False,2012-09-15,True,1525.380027066829,1481.1500225556908,0.5633104515345008
5,Berry,Centre,2,3,False,2012-09-15,False,1546.3447706531122,1500.0,0.5663027072530129
6,Oglethorpe,Sewanee,1,3,False,2012-09-15,False,1477.6552293468878,1479.1825299481445,0.4978020519097005
7,Oglethorpe,Centre,1,3,False,2012-09-16,False,1457.7431472704998,1519.3423330626129,0.4122689743033168
8,Centre,Sewanee,3,0,False,2012-09-18,True,1534.9213112581624,1497.9499439641054,0.5530061528449381
9,Hendrix,Berry,1,3,False,2012-09-21,False,1496.3716094021895,1525.9578731920037,0.45752456527815005
10,Sewanee,Millsaps,0,3,False,2012-09-21,False,1477.9483225781512,1542.847609005449,0.4076737584999276
11,Hendrix,Oglethorpe,3,0,False,2012-09-22,True,1478.0706267910634,1441.2523882983671,0.5527882492710977
12,Rhodes,Berry,1,3,False,2012-09-22,False,1464.6647533183805,1543.2185860932225,0.3888396748727675
13,Centre,Millsaps,0,3,False,2012-09-22,False,1556.3770159216053,1561.1250953515384,0.493167389778561
14,Rhodes,Oglethorpe,3,0,False,2012-09-23,True,1449.1111663234697,1421.2411845375343,0.5400223214991114
15,Millsaps,Berry,1,3,False,2012-09-28,False,1583.1662704224727,1557.9300339281228,0.5362541278277924
16,Sewanee,Rhodes,3,1,False,2012-09-29,True,1458.3799821701546,1471.1900948915122,0.4815731151522833
17,Millsaps,Oglethorpe,3,0,False,2012-09-29,True,1561.716105309361,1400.66795704589,0.7164799995166843
18,Centre,Hendrix,3,2,False,2012-09-29,True,1532.7049812122343,1499.5367908260507,0.5475883819045438
19,Centre,Rhodes,3,1,False,2012-09-30,True,1548.9917994636708,1451.6463283817382,0.6365371233999164
20,Sewanee,Hendrix,0,3,False,2012-09-30,False,1479.1170575640633,1484.0817986530435,0.4928556495092597
21,Centre,Berry,0,3,False,2012-10-05,False,1563.5303145276741,1578.147969089769,0.47897590777758126
22,Sewanee,Oglethorpe,3,1,False,2012-10-05,True,1455.4599863876188,1387.8097341686532,0.5961445503449129
23,Hendrix,Millsaps,1,3,False,2012-10-05,False,1506.1091343810458,1575.3250653325601,0.4016874621613312
24,Centre,Oglethorpe,3,1,False,2012-10-06,True,1540.5394709543502,1372.5424751492665,0.7245347913406296
25,Rhodes,Millsaps,0,3,False,2012-10-06,False,1437.8731182934025,1590.5120373278069,0.29345548514865455
26,Sewanee,Berry,0,3,False,2012-10-06,False,1471.6142043738223,1599.5601654483048,0.3237664336473226
27,Oglethorpe,Berry,0,3,False,2012-10-09,False,1362.0229619975748,1614.1760007268988,0.18976935038886872
28,Millsaps,Centre,3,1,False,2012-10-12,True,1603.8046415114782,1551.558079300725,0.5746271673597638
29,Berry,Hendrix,3,2,False,2012-10-12,True,1622.904220446488,1490.0416358945924,0.6823989704676487
30,Oglethorpe,Hendrix,1,3,False,2012-10-13,False,1352.9140331789092,1479.1152526490428,0.3259692641887705
31,Berry,Rhodes,3,0,False,2012-10-13,True,1634.3378575096526,1423.787255006267,0.7706573531994922
32,Millsaps,Sewanee,3,2,False,2012-10-13,True,1620.8195548170877,1456.0734155587509,0.7207842371397271
33,Oglethorpe,Rhodes,3,2,False,2012-10-14,True,1339.8752626113585,1413.307181005123,0.3958689071550915
34,Sewanee,Centre,3,1,False,2012-10-16,True,1446.43546972423,1535.4931011443905,0.37457088447217446
35,Rhodes,Hendrix,0,3,False,2012-10-17,False,1392.649146483976,1491.503187531717,0.36145615285051563
36,Rhodes,Sewanee,1,3,False,2012-10-20,False,1375.2992511471512,1471.452634345343,0.36505198368306613
37,Hendrix,Centre,1,3,False,2012-10-20,False,1507.7626067372785,1511.8478251725371,0.49412116900497305
38,Berry,Millsaps,3,1,False,2012-10-20,True,1645.346304556077,1630.8713222800575,0.5208191297898412
39,Rhodes,Centre,0,3,False,2012-10-21,False,1360.6971717998285,1530.477057526071,0.27342157628942293
40,Hendrix,Sewanee,2,3,False,2012-10-21,False,1487.9977599770796,1485.284569639419,0.5039045153962814
41,Oglethorpe,Millsaps,1,3,False,2012-10-21,False,1361.6239819537752,1612.8018940148572,0.19063393454442437
