home,away,home_score,away_score,postseason,date
Berry,Oglethorpe,3,0,False,2012-9-12
Hendrix,Rhodes,3,1,False,2012-9-12
Berry,Sewanee,3,0,False,2012-9-14
Millsaps,Hendrix,3,0,False,2012-9-14
Millsaps,Rhodes,3,1,False,2012-9-15
Berry,Centre,2,3,False,2012-9-15
Oglethorpe,Sewanee,1,3,False,2012-9-15
Oglethorpe,Centre,1,3,False,2012-9-16
Centre,Sewanee,3,0,False,2012-9-18
Hendrix,Berry,1,3,False,2012-9-21
Sewanee,Millsaps,0,3,False,2012-9-21
Hendrix,Oglethorpe,3,0,False,2012-9-22
Rhodes,Berry,1,3,False,2012-9-22
Centre,Millsaps,0,3,False,2012-9-22
Rhodes,Oglethorpe,3,0,False,2012-9-23
Millsaps,Berry,1,3,False,2012-9-28
Sewanee,Rhodes,3,1,False,2012-9-29
Millsaps,Oglethorpe,3,0,False,2012-9-29
Centre,Hendrix,3,2,False,2012-9-29
Centre,Rhodes,3,1,False,2012-9-30
Sewanee,Hendrix,0,3,False,2012-9-30
Centre,Berry,0,3,False,2012-10-5
Sewanee,Oglethorpe,3,1,False,2012-10-5
Hendrix,Millsaps,1,3,False,2012-10-5
Centre,Oglethorpe,3,1,False,2012-10-6
Rhodes,Millsaps,0,3,False,2012-10-6
Sewanee,Berry,0,3,False,2012-10-6
Oglethorpe,Berry,0,3,False,2012-10-9
Millsaps,Centre,3,1,False,2012-10-12
Berry,Hendrix,3,2,False,2012-10-12
Oglethorpe,Hendrix,1,3,False,2012-10-13
Berry,Rhodes,3,0,False,2012-10-13
Millsaps,Sewanee,3,2,False,2012-10-13
Oglethorpe,Rhodes,3,2,False,2012-10-14
Sewanee,Centre,3,1,False,2012-10-16
Rhodes,Hendrix,0,3,False,2012-10-17
Rhodes,Sewanee,1,3,False,2012-10-20
Hendrix,Centre,1,3,False,2012-10-20
Berry,Millsaps,3,1,False,2012-10-20
Rhodes,Centre,0,3,False,2012-10-21
Hendrix,Sewanee,2,3,False,2012-10-21
Oglethorpe,Millsaps,1,3,False,2012-10-21
Hendrix,Rhodes,1,3,False,2013-9-14
Millsaps,Birmingham-Southern,3,0,False,2013-9-17
Sewanee,Berry,0,3,False,2013-9-20
Sewanee,Oglethorpe,3,2,False,2013-9-21
Centre,Berry,0,3,False,2013-9-21
Rhodes,Birmingham-Southern,2,3,False,2013-9-21
Hendrix,Millsaps,0,3,False,2013-9-21
Centre,Oglethorpe,3,1,False,2013-9-22
Hendrix,Birmingham-Southern,3,1,False,2013-9-22
Rhodes,Millsaps,3,1,False,2013-9-22
Oglethorpe,Berry,0,3,False,2013-9-24
Sewanee,Centre,0,3,False,2013-9-25
Berry,Rhodes,3,0,False,2013-9-27
Birmingham-Southern,Centre,0,3,False,2013-9-28
Oglethorpe,Rhodes,2,3,False,2013-9-28
Millsaps,Sewanee,3,1,False,2013-9-28
Berry,Hendrix,3,0,False,2013-9-28
Millsaps,Centre,0,3,False,2013-9-29
Oglethorpe,Hendrix,0,3,False,2013-9-29
Birmingham-Southern,Sewanee,3,2,False,2013-9-29
Berry,Millsaps,3,2,False,2013-10-4
Hendrix,Sewanee,2,3,False,2013-10-5
Rhodes,Centre,0,3,False,2013-10-5
Berry,Birmingham-Southern,2,3,False,2013-10-5
Oglethorpe,Millsaps,0,3,False,2013-10-5
Hendrix,Centre,0,3,False,2013-10-6
Rhodes,Sewanee,1,3,False,2013-10-6
Oglethorpe,Birmingham-Southern,0,3,False,2013-10-6
Berry,Sewanee,3,0,False,2013-10-11
Oglethorpe,Sewanee,0,3,False,2013-10-12
Berry,Centre,3,0,False,2013-10-12
Birmingham-Southern,Rhodes,3,0,False,2013-10-12
Millsaps,Hendrix,0,3,False,2013-10-12
Oglethorpe,Centre,1,3,False,2013-10-13
Birmingham-Southern,Hendrix,2,3,False,2013-10-13
Millsaps,Rhodes,2,3,False,2013-10-13
Centre,Sewanee,3,1,False,2013-10-16
Birmingham-Southern,Millsaps,2,3,False,2013-10-16
Rhodes,Hendrix,0,3,False,2013-10-16
Berry,Oglethorpe,3,0,False,2013-10-17
Centre,Birmingham-Southern,3,1,False,2013-10-19
Rhodes,Oglethorpe,3,2,False,2013-10-19
Sewanee,Millsaps,0,3,False,2013-10-19
Hendrix,Berry,1,3,False,2013-10-19
Hendrix,Oglethorpe,3,0,False,2013-10-20
Centre,Millsaps,3,1,False,2013-10-20
Rhodes,Berry,0,3,False,2013-10-20
Sewanee,Birmingham-Southern,2,3,False,2013-10-20
Millsaps,Berry,0,3,False,2013-10-26
Sewanee,Rhodes,2,3,False,2013-10-26
Birmingham-Southern,Oglethorpe,3,0,False,2013-10-26
Centre,Hendrix,3,1,False,2013-10-26
Millsaps,Oglethorpe,3,1,False,2013-10-27
